"ID Channel","Link Channel","Waktu","Link video","Komentar","Like"
"Disematkan oleh @ngelantur","https://www.youtube.com/@ngelantur","4 bulan yang lalu","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgxfdMgHDYeQmU1azv94AaABAg","Lagi & lagi, video ini aslinya 3 jam lebih, tapi terpaksa gua harus ringkas jadi 20 menitan. Sebenernya gua banyak bahas dari aspek Industri animasi & alasan kenapa investor gak ada yang mau invest untuk animasi dalam negeri, apakah SDM kita tidak mampu? Apakah masalahnya ada di pemerintah? Di Ph? Atau di masyarakat? Nah itu sebenernya yang gua bahas, tapi karena durasi gua harus potong, silahkan kalian diskusiin di kolom komentar aja, mungkin lain kali di LIVE sabtu malem gua bahas lebih detail ️

Oiya aspek teknis juga banyak gua bahas sebenernya, tapi bisa jadi seminar kalo gua bahas semuanya di Youtube","2,2 rb"
"@adhitocho","https://www.youtube.com/@adhitocho","4 bulan yang lalu","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgwcCO4WGMydhgrYRwV4AaABAg","BETUL!
Alasan utama gw nonton ini adalah support. Memberikan apresiasi semaksimal mungkin yang gw bisa biar animasi2 karya anak Indo bisa bikin lebih banyak karya dan lebih bagus lagi.
Emang masih banyak kekurangan, tapi Indonesia sampai level ini tuh udah sangat luar biasa. Satu achievement yang patut dibanggakan.
Maju terus animator2 Indonesia. Mantabh","974"
"@wendix","https://www.youtube.com/@wendix","4 bulan yang lalu","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgwXo3HTaXG5KNm4WBN4AaABAg","Jumbo ini full edukasi buat anak” dan emak bapaknya. Mewakili banget buat kita” yang sungkan bahkan ga berani speak up ke para orang tua :D selain itu juga terharu banget bukan cuma karena ceritanya tapi karena ini potentially jadi trigger buat para pegiat animasi lokal berkompeten yang selama ini tidak ternotice! Semoga makin banyak yang berlomba-lomba dalam kebaikan industri animasi Indonesia 🇮🇩","369"
"@monster02718","https://www.youtube.com/@monster02718","4 bulan yang lalu","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgzSo3u5pvZsDaU4jjR4AaABAg","Butuh 14 tahun, Indonesia upgrade 1 level untuk film animasi. 2011 film Pada Suatu Ketika yg dijuluki Transformers nya Indonesia muncul, 2025 film Jumbo muncul, menceritakan bagaimana kalo hidup semasa kecil tanpa adanya teknologi, dan hp. Itu tandanya masih butuh banyak waktu untuk negara lain, bahkan Indonesia, untuk bisa buat animasi lokal yg sangat sangat keren. Harus selalu support animasi lokal, baik yg bagus maupun yg ga bagus, dan jangan bosan berikan kritik jika tidak sesuai dengan yg diinginkan, dan selalu puji, serta apresiasi jika emang animasi lokal itu sangat sangat bagus. Kritik itu membangun, puji dan apresiasi itu mengakui. Semoga kedepannya Indonesia bisa buat animasi lokal yg bagus kek gini lagi. Dan jg semoga kedepannya banyak animator lokal bisa buat animasi, baik yg bagus ataupun yg ga bagus. 
Klo untuk lokal, udah jadi dewa itu, tapi global, kalah jauh. Ini penilaian detailnya. Masih banyak yg kurang atau ga memuaskan dari gerak wajahnya, gerak tubuhnya, gerak mulutnya, suaranya, pergerakannya, pikselnya, bahkan penggunaan ai nya, ost nya, bgm nya. Tapi secara keseluruhan atau lihat sekilas udah bagus sih, apalagi smooth tampilannya, karakternya dapat cerita masing-masing, tampilan karakternya udah lumayan, aspek penting nya jg, kek rumah, pekarangan, area sekitar nya udah bagus","185"
"@user-fg8ku6hs7z","https://www.youtube.com/@user-fg8ku6hs7z","4 bulan yang lalu","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgyIbQ8nST30WqmGP4p4AaABAg","Jujur setelah ninton film jumbo akhirnya saya bisa bernafas cukup lega karena artinya masih ada film maker Indonesia yang masih memikirkan film anak anak Indonesia. Dulu agak cukup khawatir karena banyak film Indonesia yang sampah dan hanya memikirkan pasar tetapi tidak memberikan pesan sama sekali. Tapi akhirnya adaaa film Indonesia yang dibuat untuk anak anak lagiii  senang rasanyaaa. Tapi untuk disamakan sekelas disney atau pixar jujur memang terlalu berlebihan. 

Masih banyak pr yang harus digarap dan tentu masih banyak dukungan yang dibutuhkan untuk mengembangkan hal tersebut. Sayangnya udah di jatuhkan dulu sama pemerintah sendiri","1,2 rb"
"@firzainfinix-t5j","https://www.youtube.com/@firzainfinix-t5j","4 bulan yang lalu (diedit)","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgziWvSbpgAfDbmvmn14AaABAg","ih takotnye","35"
"@Azizah-dk7vy","https://www.youtube.com/@Azizah-dk7vy","4 bulan yang lalu","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgylR-aAqTfmyq6tKdJ4AaABAg","Absolute cinema sinematik dewa banget, cuma sebagai illustrator ada kritik di concept art arwah2 ini, menurutku bisa jauh lebih “fantasi” lagi design karakter dan setuju sih design si arwah ortunya yg di radio… could be better, sempet khawatir bakal sepi ternyata pada support, mana sempet kecewa sm pemerintah gara2 bikin animasi AI,
maju terus Animasi Indonesia! 
Makan tuh AI, rezim pepek","71"
"@amirulisad","https://www.youtube.com/@amirulisad","4 bulan yang lalu","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgxQysUoBvL2X99SM1B4AaABAg","Barusan ada space di X bareng produser, mas Angga, dan beberapa orang di balik layar. Memang masalah utamanya di film Jumbo itu teknologinya. Masih dibangun dari awal, plugin-nya dibuat sendiri, pakai aplikasi Blender yang itu open source, intinya mereka masih belajar dari film Jumbo ini. Bahkan, masalah internet dan listrik pun juga jadi kendala, karena kata beliau-beliau ini, kreatornya tersebar di seluruh Indonesia. Lagi-lagi peran pemerintah yang  masih sangat-sangat kurang. Film Jumbo pondasi yang bagus untuk film Animasi ke depan, mungkin 10-15 tahun lagi bisa ada film yang benar-benar sekelas Disney dan Pixar. Bismillah, tapi pasti! Film animasi Indonesia bisa!","592"
"@leonardoenrico2152","https://www.youtube.com/@leonardoenrico2152","4 bulan yang lalu","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgyzNJt1ThBwQmKy0FJ4AaABAg","real sih, gue kmren ke Malaysia liat hampir di semua stasiun MRT banyak poster Mechamato sama Boboiboy, segitu support nya mereka ama buatan lokal","320"
"@Rdedrig729","https://www.youtube.com/@Rdedrig729","4 bulan yang lalu","https://www.youtube.com/watch?v=3PFYFsYH5zA&lc=UgzrGtuU0x3_Ao5irV54AaABAg","Ngakak banget scene "" dulu kita dilevel 1 "" sambil zoom muka dontol","2"
