"Link Channel","ID Channel","Waktu","Link video","Komentar","Like"
"https://www.youtube.com/@VisinemaStudios","@VisinemaStudios","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=Ugw-6kHfkJ2zOVnzSdl4AaABAg&pp=0gcJCSMANpG00pGi","Terima kasih Kakak-kakak Cine Crib atas ulasan baiknyaa 🫶 Yuk kita JUMBOKAN BIOSKOP di 31 MARET ini!!!","751"
"https://www.youtube.com/@Sketsandrik","@Sketsandrik","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgygyCe0jj2e-vRSogR4AaABAg","Mari kita dukung animasi indonesia....gak kaya pemerintah yang bahkan iklan aja pakai AI","384"
"https://www.youtube.com/@restubumi3731","@restubumi3731","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=Ugw_IoovDtQRsRASiHd4AaABAg&pp=0gcJCSMANpG00pGi","Mari kita dukung animasi buatan Indonesia 
Meskipun di seberang sana malah menafikan animasi Indonesia dengan lebih percaya AI","13"
"https://www.youtube.com/@yoviedwi4036","@yoviedwi4036","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=Ugz_BMj6mvRH_BlmKF94AaABAg","Gak nyangka, dari jawara Stand Up Comedy season pertama udah bikin animasi yang sekeren dan sebagus ini...
Good Job. Keep supporting Indonesian Animation...","65"
"https://www.youtube.com/@dikamatsuya7201","@dikamatsuya7201","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgyaLXc3Cwql9ojnmV94AaABAg","""Paaaak ini nyalainnya gimana"" wkwk satu bioskop ngakak","32"
"https://www.youtube.com/@uwowow","@uwowow","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgzEc_nrWlZo4FXoGq14AaABAg","Cocok nih bawa bocil nonton film ini biar bisa dijadiin first experience mereka nonton bioskop","6"
"https://www.youtube.com/@abdulwahid-tv3yj","@abdulwahid-tv3yj","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgyF9R8uocCriVB89YN4AaABAg","pemerintah harusnya apresiasi ini setinggi-tingginya... dari film inilah tonggak animasi di mulai... baysngin aja jika nanti film animasi Indonesia se sukses ne zha yg bahkan ngalahin avengers","17"
"https://www.youtube.com/@cekasguna","@cekasguna","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgyZaFkfAzeDX4vzyyx4AaABAg&pp=0gcJCSMANpG00pGi","anak sekecil DON bertarung melawan bapak kades dengan cinematic ala ala avengers, angkat topi untuk film ini setinggi tingginya","3"
"https://www.youtube.com/@moons-nim","@moons-nim","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgydXewJALm2nx4CfYh4AaABAg","Let's normalize lebaran bertabur film SU kayak gini, ga melulu horor. Semoga ini bisa pecah. Ini selain bisa memupuk potensi adanya banyak animasi Indonesia, kalau goals bang Ryan bakal bikin show standup comedy lagi setelah sekian purnama. Karya teruuus. Dan tentunya pasti potensi Jumbo 2. Yuk lah kalau nonton give a chance buat film gini. Animasi ga melulu kekanakan, taglinenya film ini : 'Film Jumbo ini untuk kita, anak-anak kita, dan anak-anak di dalam diri kita (innerchild)'","29"
"https://www.youtube.com/@Alinnst15","@Alinnst15","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgxVu8ty10YRKeKLzPd4AaABAg","Ini animasi buat semua umur anak2 bisa menikmati orang dewasa bisa menikmati juga sarat kritik sosial sama joke2 garing, animasinya sangat proper, effort 5 tahun tidak mengkhianati, semoga laris ya","7"
"https://www.youtube.com/@putrapp8801","@putrapp8801","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgxWA1Z5DPpKCIz4hzx4AaABAg","Film ini di buat dengan cinta dan dedikasi tinggi para pembuatnya, selamat","9"
"https://www.youtube.com/@Dilanurfadila214","@Dilanurfadila214","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgzUyvzorin6MHM_uIp4AaABAg","Awal kebangkitan film animasi Indonesia","34"
"https://www.youtube.com/@deejogja1801","@deejogja1801","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=Ugwn5DbsllNoG1Vf6694AaABAg","Bapak Ibu yang memiliki kelebihan harta, boleh loh ngajak anak² yatim piatu unt nonton JUMBO bersama-sama. Berbagi kebahagiaan itu indah","110"
"https://www.youtube.com/@usmankhaerunna8157","@usmankhaerunna8157","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=Ugx92rHv5ZOoBaMJSEJ4AaABAg","Udah nonton bareng istri dan 2 anakku.. Udah kelas Disney si dr detail animasinya .. Dan dari segi cerita pun bagus banget sampe ada plot twistnya 2 kali ,,Sampe tepuk tangan pas abis filmnya untung ada yg ngikutin tepuk tangan juga, klo gak malu juga ..","10"
"https://www.youtube.com/@ronirosyidi","@ronirosyidi","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgyetBZhmT5aINqOjVB4AaABAg","GO JUMBO GO JUMBO GO!","6"
"https://www.youtube.com/@wonosarwono2765","@wonosarwono2765","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgwNnjyOjklqnMxbIQJ4AaABAg","Gua akan nonton Sabtu ini ,karna jumbo seperti oasis di Padang pasir sebenarnya,, disaat banyak animasi Disney yg mulai menambahkan hal2 berbau agenda juga soal pemerintah kita sendiri yang seolah-olah berfikir AI ,AI ,AI dan animasi AI padahal seorang Hayao Miyazaki yg adalah pendiri studio Ghibli pernah berujar bahwa animasi AI adalah penghinaan bagi kehidupan,, bagi gua animasi AI adalah animasi tanpa ada hati yg bermain","101"
"https://www.youtube.com/@liburanmulu","@liburanmulu","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=Ugz2-pVlIxupvJXWW354AaABAg","Bahkan soundtrack nya nyantol bgt","2"
"https://www.youtube.com/@VisinemaPictures","@VisinemaPictures","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=Ugxm5CdPpXn2u6kfiA94AaABAg&pp=0gcJCSMANpG00pGi","Terima kasih Kakak-Kakak Cine Crib atas ulasan yang hangat untuk film JUMBO 🫶. Sampai ketemu semuanya di bioskop 31 MARET!","247"
"https://www.youtube.com/@muhammadridlo6921","@muhammadridlo6921","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgzX1uPZ8GzxpQlX1il4AaABAg","merinding sepanjang film sumpah… bangga banged Indonesia bisa bikin film animasi kek gini..
paket komplit sih ini film,
dari grafik, story, soundtrack bagusss semuaaa….️️️️","2"
"https://www.youtube.com/@NEPTUNE.PLANETCUTE","@NEPTUNE.PLANETCUTE","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgyCbtwisxb5k0x-5gF4AaABAg","NANTI LEBARAN PASTI SERU TUH NONTON JUMBO ️","4"
"https://www.youtube.com/@abdulwahid-tv3yj","@abdulwahid-tv3yj","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgyF9R8uocCriVB89YN4AaABAg","pemerintah harusnya apresiasi ini setinggi-tingginya... dari film inilah tonggak animasi di mulai... baysngin aja jika nanti film animasi Indonesia se sukses ne zha yg bahkan ngalahin avengers","17"
"https://www.youtube.com/@moons-nim","@moons-nim","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgydXewJALm2nx4CfYh4AaABAg","Let's normalize lebaran bertabur film SU kayak gini, ga melulu horor. Semoga ini bisa pecah. Ini selain bisa memupuk potensi adanya banyak animasi Indonesia, kalau goals bang Ryan bakal bikin show standup comedy lagi setelah sekian purnama. Karya teruuus. Dan tentunya pasti potensi Jumbo 2. Yuk lah kalau nonton give a chance buat film gini. Animasi ga melulu kekanakan, taglinenya film ini : 'Film Jumbo ini untuk kita, anak-anak kita, dan anak-anak di dalam diri kita (innerchild)'","29"
"https://www.youtube.com/@Alinnst15","@Alinnst15","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgxVu8ty10YRKeKLzPd4AaABAg","Ini animasi buat semua umur anak2 bisa menikmati orang dewasa bisa menikmati juga sarat kritik sosial sama joke2 garing, animasinya sangat proper, effort 5 tahun tidak mengkhianati, semoga laris ya","7"
"https://www.youtube.com/@putrapp8801","@putrapp8801","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgxWA1Z5DPpKCIz4hzx4AaABAg","Film ini di buat dengan cinta dan dedikasi tinggi para pembuatnya, selamat","9"
"https://www.youtube.com/@Dilanurfadila214","@Dilanurfadila214","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgzUyvzorin6MHM_uIp4AaABAg","Awal kebangkitan film animasi Indonesia","34"
"https://www.youtube.com/@deejogja1801","@deejogja1801","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=Ugwn5DbsllNoG1Vf6694AaABAg","Bapak Ibu yang memiliki kelebihan harta, boleh loh ngajak anak² yatim piatu unt nonton JUMBO bersama-sama. Berbagi kebahagiaan itu indah","110"
"https://www.youtube.com/@usmankhaerunna8157","@usmankhaerunna8157","4 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=Ugx92rHv5ZOoBaMJSEJ4AaABAg","Udah nonton bareng istri dan 2 anakku.. Udah kelas Disney si dr detail animasinya .. Dan dari segi cerita pun bagus banget sampe ada plot twistnya 2 kali ,,Sampe tepuk tangan pas abis filmnya untung ada yg ngikutin tepuk tangan juga, klo gak malu juga ..","10"
"https://www.youtube.com/@ronirosyidi","@ronirosyidi","5 bulan yang lalu","https://www.youtube.com/watch?v=Erfs3MFoa3c&lc=UgyetBZhmT5aINqOjVB4AaABAg","GO JUMBO GO JUMBO GO!","6"
