"Link Channel","ID Channel","Waktu","Link video","Komentar","Like"
"https://www.youtube.com/@rianbachtiar2366","@rianbachtiar2366","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugz4fbf0nyRxwlXo-194AaABAg","Film ini mengajarkan bahwa rokok, alkohol, males gerak dan stress yg di pendam adalah kombinasi yang mematikan.","451"
"https://www.youtube.com/@dailydosemantra","@dailydosemantra","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgwN4VXEKRO41pYvxqB4AaABAg","Setelah nonton film Sore, saya berharap audience film-nya nanti ga cuma orang Indonesia. Dunia perlu lihat karya ini","1,2 rb"
"https://www.youtube.com/@muhammadakhdanfillah","@muhammadakhdanfillah","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugz9N3ilZDCFsJGOUA94AaABAg","Yandy Laurens is on his run to becoming one of the greatest Indonesian directors","300"
"https://www.youtube.com/@nurkumaladewi3783","@nurkumaladewi3783","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugy052A6CxYryJ7SRg94AaABAg","Saya berumur 53 th. Hobby nonton film sejak kecil. Film ini film terbaik yg pernah saya tonton. Sederhana dan penuh makna. Banyak pesan jika kita mampu mencernanya dg baik","358"
"https://www.youtube.com/@l4w4nr3z1m","@l4w4nr3z1m","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgxLTeUPVU8iCf-g3k54AaABAg","Indonesia benar-benar beruntung punya filmmaker sekelas Yandy Laurens, seseorang yang gak cuma paham cara bercerita, tapi juga ngerti bagaimana menyentuh hati penonton lewat detail kecil yang penuh makna. Kita hidup di masa yang sama dengan Yandy saat dia lagi ada di puncak produktivitasnya, dan itu suatu hal yang patut disyukuri. Karena Yandy bukan sekadar sutradara, dia adalah pencerita yang terlahir untuk membuat film. Setiap karyanya terasa personal, hangat, dan punya jiwa, sesuatu yang gak semua pembuat film bisa hadirkan secara konsisten","536"
"https://www.youtube.com/@wibufishing352","@wibufishing352","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgzI42GZAmQc0Av0Ry14AaABAg","Entah kenapa setelah nonton film ini gw merasa hampa","23"
"https://www.youtube.com/@SatrioXsFX","@SatrioXsFX","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgxlEjsZd9gMV-uZeRZ4AaABAg","Ini bener2 film yang bikin mix feeling. Perasaan campur aduk, begitupun pikiran. Sesek dada in the good way. Gw diem distudio sampe title credit kelar. Bahkan keluar studio gw jg msh diem mencoba mencerna perasaan gw. Setelahnya feeling yg kuat untuk nonton lagi. Dan besoknya gw nonton lagi. Walaupun tau alurnya, feelingnya masih sama. Kagumnya sama feeling ini gak berkurang. Magic.","330"
"https://www.youtube.com/@noprantriaditya7357","@noprantriaditya7357","1 bulan yang lalu (diedit)","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgxDN2rbQ4-pc4VhrCN4AaABAg","""jika harus diulang ribuan kali, gua akan tetap memilih sore"" wkwkwkwk YTTA","22"
"https://www.youtube.com/@kalsiumfive","@kalsiumfive","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgyPgVbThxSbsO7Pr_h4AaABAg","Salah satu yg buat gw amaze sama film ini, karena takjub sama actingnya sheila dara. Dia bisa bikin ekspresi senang, sedih, khawatir, excited, putus asa, dan penuh harapan dalam 1 senyum. This women is one of a kind.","883"
"https://www.youtube.com/@salsabilafirdausia27","@salsabilafirdausia27","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgwDLHcw2PavI9eGc514AaABAg","Gue justru mau apresiasi sama kostum dan penata artistik di film sore, warna kostum castnya nyatu banget sama set dan latar. Kayak lukisan.. eye catching bgt. Hidup .. sangat cantik","80"
"https://www.youtube.com/@yohanesagil6824","@yohanesagil6824","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugzm7f-B0dqDSB2srHp4AaABAg","Sore is THE NEXT LEVEL FILM INDONESIA","146"
"https://www.youtube.com/@halimsopan","@halimsopan","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugxs1-VsIR5BY7gYHnt4AaABAg","SUMPAH BANGGG SETUJUUUUUUUU, di akhir gue nangis bukan karena sedih tapi saking bagusnya emosi yang dikasih","33"
"https://www.youtube.com/@l4w4nr3z1m","@l4w4nr3z1m","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgyC_FTem062qJFVXFV4AaABAg&pp=0gcJCSMANpG00pGi","Yang paling bikin gw sayang banget sama film Sore Istri dari Masa Depan adalah cara Yandy Laurens menyulam keajaiban dalam cerita ini tanpa pernah kehilangan sisi manusianya. Bukan soal bagaimana si “istri dari masa depan” bisa tiba-tiba muncul, itu gak pernah jadi fokus utama, tapi lebih ke dampak emosional yang dia bawa buat hidup seseorang yang udah lama tenggelam dalam kesendirian. Film ini terasa kayak surat cinta buat orang-orang yang pernah kehilangan arah, tapi diam-diam masih berharap diselamatkan. Visualnya emang indah banget, tapi yang lebih berkesan adalah bagaimana film ini bisa bikin keindahan itu terasa bermakna, bukan sekadar pamer estetika. Di akhir film, bukan cuma Jonathan yang pelan-pelan sembuh, gw juga ikut merasa kayak baru diingatkan gimana rasanya dicintai dengan tulus","260"
"https://www.youtube.com/@Marchelmar993","@Marchelmar993","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgwYWr2mGRXI2mGJomp4AaABAg","Lagu barasuara jadi magis banget di film ini","14"
"https://www.youtube.com/@sda760","@sda760","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgzYulqxKWdXST1ky9h4AaABAg","Gw nonton film layar lebar dalam setahun bisa 50-60 judul, macam-macam genre dalam dan luar negeri. Kritikan terbesar gw utk film-film Indo dari dulu adalah dari sisi storylinenya yg gak rapih, banyak plot holenya, banyak adegan dan dialog kualitas sinetron, gangguan screen time figuran2 yg gak perlu dll dll. Tapi utk Sore filmnya Yandy Laurens yg terbaru ini, menurut gw ini film Indonesia yg ditulis dengan sangat cerdas, rapih, pakai otak dan hati, gak akan bikin malu kalau diekspor ke negara luar atau jika ditayangkan di festival film internasional. My rate 8.5/10, nilai tertinggi dari semua film yg pernah gw tonton. Mau ngasih nilai 9 tapi gw simpan buat film2 berikutnya dari Yandy Laurens.","29"
"https://www.youtube.com/@ta_Juliandika","@ta_Juliandika","1 bulan yang lalu (diedit)","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugw3mt4fQg5P0Hm04d14AaABAg","anak pertama gue cewe. namanya SORE, lahir 2022. terinspirasi dari series youtube Sore istri dari masa depan (Tropicana Slim). padahal 2017 ketemu jodoh aja belom. tapi udah ngeTAG nama anak kalo cewe, SORE. pengen nama yang Indonesia bgt tapi jarang di pake sama orang tua jaman skrg. SORE istri dari Masa Depan udah tayang, pas nonton merinding. alurnya sama kaya series, tapi dijelasin lebih detail dan sampai ke ujungnya. maknyos","170"
"https://www.youtube.com/@lor.d.vinsmoke3584","@lor.d.vinsmoke3584","1 bulan yang lalu (diedit)","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugyr5z4nywRz3BXTJzp4AaABAg","Masih banyak orang di bioskop yg sulit memahami film yang bagus ini, dan malah mempermasalahkan durasi filmnya dibanding coba memahami film ini selagi menonton.

Jatuh Cinta Seperti di Film-Film masih film indonesia favorit saya","16"
"https://www.youtube.com/@jajangfitrana8827","@jajangfitrana8827","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugwmxc8JWuOe6nuBSsh4AaABAg&pp=0gcJCSMANpG00pGi","Film nya unik. Ini mah udah international sih kelasnya. Semua aktingnya bagus. Porsinya pas. Walopun pas pengulangan cerita agak bikin capek yah, tapi terpuaskan pada akhir film. Seperti diajak pada kehidupan sepasang manusia dan akhir film adalah puncaknya. Dapet banget pesan yang pengen disampaikan. Sungguh sangat emosional","22"
"https://www.youtube.com/@aldilasaputrikristiawati2583","@aldilasaputrikristiawati2583","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgzTcmCmV8QU1o_06pF4AaABAg","exactly! ya ini, film SORE ini adalah film yang pengen aku tonton untuk pertama kalinya lagi! plis","9"
"https://www.youtube.com/@narantaka9073","@narantaka9073","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgwLN9QgYfj3CmnPi394AaABAg","SCENE DI TREM FAVORITE!!!!!
gmn keretanya manuver ""transisi in"" dan ""transisi out"" yg bener2 enak bgt dukung jalan ceritanya","2"
"https://www.youtube.com/@salsabilafirdausia27","@salsabilafirdausia27","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=UgwDLHcw2PavI9eGc514AaABAg","Gue justru mau apresiasi sama kostum dan penata artistik di film sore, warna kostum castnya nyatu banget sama set dan latar. Kayak lukisan.. eye catching bgt. Hidup .. sangat cantik","80"
"https://www.youtube.com/@yohanesagil6824","@yohanesagil6824","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugzm7f-B0dqDSB2srHp4AaABAg","Sore is THE NEXT LEVEL FILM INDONESIA","146"
"https://www.youtube.com/@halimsopan","@halimsopan","1 bulan yang lalu","https://www.youtube.com/watch?v=QKJ-uFQgFSo&lc=Ugxs1-VsIR5BY7gYHnt4AaABAg","SUMPAH BANGGG SETUJUUUUUUUU, di akhir gue nangis bukan karena sedih tapi saking bagusnya emosi yang dikasih","33"
