"Link Channel","ID Channel","Waktu","Link video","Komentar","Like"
"https://www.youtube.com/@anggapratama6402","@anggapratama6402","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=UgzSPcd7Am8PskOilmR4AaABAg","pas endingnya, sheila dara didandanin mirip banget dengan apa yang ditampilakn tika bravani di webseries. astaga mirip bangetttttt.","14"
"https://www.youtube.com/@Quadraterz","@Quadraterz","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=UgzWcup46RLeTUJknXV4AaABAg","Yang bilang filmnya jelek sini majuuu 🫵🫵 tontonlah guys film bagus iniii!!","63"
"https://www.youtube.com/@ramadanimuhamad10","@ramadanimuhamad10","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=Ugy0OdcCblxWaXRuFPN4AaABAg","WKWKWKWK paling suka kalo duo ini nge-review drama tipikal kaya gini, paasti perang dunia internal","213"
"https://www.youtube.com/@l4w4nr3z1m","@l4w4nr3z1m","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=UgyH0g7dU1_uR0dkBct4AaABAg","Indonesia benar-benar beruntung punya filmmaker sekelas Yandy Laurens, seseorang yang gak cuma paham cara bercerita, tapi juga ngerti bagaimana menyentuh hati penonton lewat detail kecil yang penuh makna. Kita hidup di masa yang sama dengan Yandy saat dia lagi ada di puncak produktivitasnya, dan itu suatu hal yang patut disyukuri. Karena Yandy bukan sekadar sutradara, dia adalah pencerita yang terlahir untuk membuat film. Setiap karyanya terasa personal, hangat, dan punya jiwa, sesuatu yang gak semua pembuat film bisa hadirkan secara konsisten","200"
"https://www.youtube.com/@NikiWonoto26","@NikiWonoto26","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=Ugz5Dqe4cUyHHBgyU4x4AaABAg","kalo menurut gw, intinya jadi kebalik di akhir film-nya: si Jonathan-lah yg akhirnya bisa bertemu dengan Sore (dibanding di awal2 film si Sore yg 'magically' tiba2 nongol begitu aja di hidupnya si Jonathan), setelah Jonathan nya sendiri-lah yg berubah..  bukan karena diubah oleh si Sore. justru yg 'sad/menyedihkan' nya itu adalah di sepanjang film kita justru malah dikasih liat sebuah 'realita/kenyataan' pahit bahwa si Sore failed/gagal mengubah si Jonathan..  jadi intinya, ini justru interpretasi yg lebih 'realistis' nya dari film ini sih..","45"
"https://www.youtube.com/@anjalipritarida2778","@anjalipritarida2778","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=UgxbY-MirTsAWd7HkzJ4AaABAg","paling merinding scene jo ngefoto sunset untuk kedua kalinya , and then sepersekian detik ada glitch sore disitu, kinda remind me of fight club mix feeling banget tolong","13"
"https://www.youtube.com/@johanesbrahmantya7341","@johanesbrahmantya7341","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=UgwRYrUYtl38guhy5Vt4AaABAg","keluar dari bioskop, bengong, speechless dan kagum banget bisa ada film Indonesia sebagus ini. Actingnya, ceritanya, karakternya semuanya seperti terjalin dengan baik, kayak pas banget gitu di banyak sisi. Puas banget!","15"
"https://www.youtube.com/@tosugi6278","@tosugi6278","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=UgwIsUI7a9c2n8QJs_14AaABAg","Nonton film ini jadi inget kuliah filsafat Friedrich Nietzsche tentang Ewige Wiederkunft atau kalau bahasa indonesa nya mah : ""Kekembalian yang sama secara abadi"". Nah, gagasan utama dalam filsafat ini menyatakan bahwa semua peristiwa dalam hidup, baik yang menyenangkan maupun menyakitkan, akan berulang tanpa henti dalam urutan yang sama selamanya. Ini bukan hanya pengulangan fisik, tetapi juga pengulangan pengalaman, pikiran, dan perasaan yang sama. 

Meskipun tampak mengerikan, gagasan ini juga bisa menjadi afirmasi hidup, mendorong seseorang untuk mencintai takdirnya (amor fati) dan menjalani setiap momen dengan sepenuh hati, karena momen itu akan kembali lagi. 

Ya walaupun kita semua tahu lah ya, filsafat ini berbeda dengan pandangan tradisional tentang waktu dan sejarah, yang cenderung melihat waktu sebagai linear dan progresif. Nietzsche menawarkan perspektif siklus di mana waktu berputar kembali pada dirinya sendiri. Konsep kek gini tuh punya implikasi etis yang mendalam lho, mendorong individu untuk bertanggung jawab atas setiap tindakan dan keputusan mereka, karena tindakan tersebut akan terus berulang.","26"
"https://www.youtube.com/@zakaria03","@zakaria03","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=UgyS5lMszEX6tobUAOJ4AaABAg","melebihi ekspetasi, pantas masuk nominasi piala citra, semoga aja dapat lah... 8,8/10 sih... diingatkan kembali tentang arti cinta, arti sayang, arti kematian, dan arti waktu. Setuju untuk mending nonton ini dulu daripada film luar atau film horor indo.","33"
"https://www.youtube.com/@dragneyru6868","@dragneyru6868","1 bulan yang lalu","https://www.youtube.com/watch?v=KB6-tXqBSyk&lc=UgwFHideRIiWarG7v-N4AaABAg","Ada satu hal yang aku tangkep setelah rewatch. Yaitu kenapa malam semakin cepat. Itu karena sore mulai merubah masa depan. Dimana masa depan Jonathan tidak mati sehingga Sore tidak ke kutub utara. Artinya Sore masa depan mengkikis dirinya sendiri secara perlahan.","15"
