genre,Like,stemming_data,Score,Sentiment
animasi,19.0,genre animasi tahan pop culture hantu,1,Positif
animasi,39.0,ryan adriandi sengaja ngecast anak energi anak,-2,Negatif
animasi,66.0,anak film keluarga lengkap tinggal nenek kakek kakak orangtua angkat lengkap meri eeeh sayang umur pendek keluarga tantang ygy kosong keluarga isi kawan,-1,Negatif
animasi,69.0,layak tonton film gue bangga dongkrak film animasi indonesia support jumbo gue sstuju banget animasi nusa rara mateng banget aspek batu loncat jumbo sempurna ya pakai kumplit sih film animasi scoring characater visual gue harap jual global enhance segi kualitas biar perfect,4,Positif
animasi,24.0,penasaran film niakhirnya siang tonton ber orgmasa allah kaca mata disadarihampir ksel karakter jumbo trbayar happy ending memuaskanklu dksh rating maju film animasi indonesia,-1,Negatif
animasi,12.0,orang tarik karakter nurman abang latar karakter tampa orang tua karakter lainnyatapi nurman tanggung balas budi orang rawat rawat kambing lihat nurman rawat kambing kambing sepenuh hati dekat sih kambing senang lihat animasi karakter agam nuansa lokal berkualitasterimakasih jumbo,-2,Negatif
animasi,17.0,dengar dengar katakata anak bangsa prestasi aset bangsa perintah enggan apresiasi daerah pusat masyarakat sih banyak hujat kritik juta tonton percaya jumbo nama ubah pakai bahasa inggris bahasa tayang singapura tipistipis bilang salah kru orang indonesia ledak bangsa biasa bangga karya budaya adat negara film bawa nama amerika korea apaapa korea baru thailand apaapa thailand lihat jumbo bangga nilai cinta karya anak negeri wajib,1,Positif
animasi,108.0,anak langsung nilai film bantu dengar maaf salah anak jahat damn anak jahat cari teman cari teman,-5,Negatif
animasi,63.0,bangga indonesia malaysia indonesia kuat industri animasi lebih masingmasing prihatin lihat rating imdb by country anomali,3,Positif
animasi,0,moga indonesia studio khusus luas tampung kreator payung wadah smuanya peluang loker kreatif depan,3,Positif
animasi,6.0,jaman sd suka film animasi pikir indonesia ya jawab bangga campur nusa jumbo keren kaya ya apresiasi karya tulus,5,Positif
animasi,8.0,menang abang,0,Netral
animasi,5.0,abang kasih podium kayak sambut kepsek,0,Netral
animasi,6.0,abang denniss review,0,Netral
animasi,1.0,patut bangga moga depan film animasi indonesia,2,Positif
animasi,0,syukur nikmat jumbo bioskop bangga,3,Positif
animasi,2.0,kades villain padle pop,1,Positif
animasi,2.0,bisa jumbo jahat pakai radio,-1,Negatif
animasi,0,abang bahas film,1,Positif
animasi,6.0,indonesia bikin film animasi kayak gituyg sulit bikin cerita tarik tarik investor bikin animasi detail modal mahal,3,Positif
animasi,119.0,abang eka narasi menit nada geter banget hati banget kaca kaca ikut bangga keren sih abang eka btw menang pas tonton jumbo cowok,4,Positif
animasi,0,soundtrack ngena bangetnempel banget habis selesai tonton,0,Netral
animasi,2.0,terimakasih buzzer jumbo gratis dukung cema indonesia,2,Positif
animasi,0,wow deskripsi film bagus efek timbul tonton anak terima kasih animator indonesia moga film,-1,Negatif
animasi,1.0,hebat orang indonesia karya dukung perintah jumbo i,2,Positif
animasi,0,indonesia kurang orang pintar kurang orang jujur,-2,Negatif
animasi,0,suka film anak,-1,Negatif
animasi,0,terimakasih cipta film animasi edukatif,1,Positif
animasi,0,terima kasih reviewnya diksi value banget,2,Positif
animasi,1.0,sumpah abang haru banget gua mu trakhir keren banget keren banget,2,Positif
animasi,1.0,sesal ajak ana tonton libur lebaranscene trkhir ana berkacaceritanya kompleksada komedi bhkan horor krakter sih gue attawlpun nebak atta tengil dontp sayang abang bikin trenyuh soundtracknya indah tek puter rumah,2,Positif
animasi,3.0,seru banget filmnyajumbo,1,Positif
animasi,0,sekian indonesia film hibur anak anak dalam gue kepala sentuh ending film ngelak usaha,-1,Negatif
animasi,1.0,tonton kali sangking senang,-1,Negatif
animasi,0,karakter tokoh utama film,0,Netral
animasi,0,sabtu april tonton ber ruamee banget nanton bagus minggu juta tonton tonton salah bentuk apresiasi animasi indonesia jaya animator indonesia kapok berlombalomba karya,0,Netral
animasi,0,keramagz kompleks ngereview detail wak,1,Positif
animasi,0,film animasi sukses karya anak bangsa ya jumbo kerreenn,2,Positif
animasi,0,tahun tonton film bioskop kali ruang tepuk tangan film,-1,Negatif
animasi,0,cmon indonesia bikin film lanjut superhero indonesia,0,Netral
animasi,0,moga tarik ceritanyasecara karakter sih oke,3,Positif
animasi,0,fan nurman,0,Netral
animasi,0,kisah nusa didik,0,Netral
animasi,0,tonton ikut standup up comedy tau film tunggu turun ekspektasi tonton banggafilm animasi bagus,-4,Negatif
animasi,1.0,animasi indonesia selar tambah alur bagus banget karakter banget,2,Positif
animasi,0,tunggu tayang ott daerah sangaaaat jauuh kota bioskop,0,Netral
animasi,0,moga film animasi lokal cerita tarik semenjak disney susup agenda woke malas nontonin produksi disney,0,Netral
animasi,0,tonton anak dua menang film penuh makna penuh nasihat lagu sentuh,-1,Negatif
animasi,0,film bagus rekomendasi tonton keluarga,-1,Negatif
animasi,0,suka nusa,0,Netral
animasi,2.0,film keren banget sumpah,1,Positif
