"ID Channel","Link Channel","Waktu","Link video","Komentar","Like"
"Disematkan oleh @ngelantur","https://www.youtube.com/@ngelantur","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgwZ-1RGUNsYcnuZ5_14AaABAg&pp=0gcJCSMANpG00pGi","Coba angkat tangan yang merasa jadi bagian dari makhluk hidup yang menonton 2 versi film ini (17+ & 21+)","1,7 rb"
"@juanabisha1983","https://www.youtube.com/@juanabisha1983","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgwLcaoACW93kzRD2sR4AaABAg","makin berkelas dan kreatip aja beliau nulis skrip video","253"
"@c.fadhylla5123","https://www.youtube.com/@c.fadhylla5123","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgyENJGQTXztAsjjIeB4AaABAg&pp=0gcJCSMANpG00pGi","Qodrat 2 and jumbo. Di tunggu","107"
"@Cindy_Ayu28","https://www.youtube.com/@Cindy_Ayu28","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgylaminxzMkUO2xcUN4AaABAg","Bener, aku setuju sebenernya bisa loh budaya di indonesia itu sampai internasional. Makanannya enak, budayanya beda2, bahasa setiap daerah beda, kekayaan alamnya juga epik, dan masih banyak lagi. Korea aja bisa pengaruhi Indonesia dari budaya, makanan, dll masa di indo filmnya cuma horror, kisah nyata, agama aja.","571"
"@Bangpan01","https://www.youtube.com/@Bangpan01","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgwRJ8V9MzHtdG36ECV4AaABAg","absolutely cinema","48"
"@om_gid","https://www.youtube.com/@om_gid","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgxmfKB7bgVhCN0cZJ14AaABAg","setuju sih, Pabrik Gula adalah KKN Desa Penari versi buruh pabrik","58"
"@enjidicky2646","https://www.youtube.com/@enjidicky2646","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgykRVufGS9HeYY0gfB4AaABAg","anjim gatau Kenapa ini diulang"" masih lucu","28"
"@Muhammad_Lutfi16","https://www.youtube.com/@Muhammad_Lutfi16","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=Ugy1uN5oxNpacyfWXH54AaABAg","tiba² banget tung tung tung sahur","19"
"@alisajidin2410","https://www.youtube.com/@alisajidin2410","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=Ugy_lKxCKSFYTXNJSUZ4AaABAg","Setuju bgt, aku aja org jawa udah jenuh muntah2 hari2 horor jawa mulu, sempat diskusi ama temenku kenapa ga indo timur atau daerah lain yang unik dan masih belum di explore","218"
"@iyaainiyogaa7307","https://www.youtube.com/@iyaainiyogaa7307","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgxKey_6OPr--rWHM4d4AaABAg","in normal days bro timothy menggunakan separuh pemikiran kreatifnya hanya untuk intro","519"
"@TheoBenciPedo","https://www.youtube.com/@TheoBenciPedo","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgwWqQR40jdJQKTxMwV4AaABAg","bisa jadi sound meme","19"
"@FFA-DRAGON","https://www.youtube.com/@FFA-DRAGON","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgzmOym2Xm6Q_knmybp4AaABAg&pp=0gcJCSMANpG00pGi","Bg bahas animasi jumbo bg","163"
"@gilangkharisma-d2c","https://www.youtube.com/@gilangkharisma-d2c","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=Ugwrq6zOb9lU4_6xPh54AaABAg","bangke...... lucu banget lagi lau bang review film ini.. apalagi moment jelasin versi uncut yang ternyata cuma 1 menit.. bjirrrrr... wkwkwk","1"
"@Rima-zw1qe","https://www.youtube.com/@Rima-zw1qe","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=Ugy7vTNzmK5uLyg48fh4AaABAg","Senyumnya creepy anjir","28"
"@lebahgntg","https://www.youtube.com/@lebahgntg","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgxZV07HNC0vaEG1D5F4AaABAg","Next Jumbo bang :D","46"
"@kaneguru1234","https://www.youtube.com/@kaneguru1234","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgwRWL7BjytbTTPE91t4AaABAg&pp=0gcJCSMANpG00pGi","Review Qodrat 2 Bng","46"
"@ReturnStr","https://www.youtube.com/@ReturnStr","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgzKB-PAyLlNgVKnq6p4AaABAg","salah satu formula horror indo yang sering muncul akhir-akhir ini: diselipin unsur komedi yang nanggung/dipakasakan dan cast nya pake komika","8"
"@lylymoll","https://www.youtube.com/@lylymoll","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgyENpzqhG1FuF_OaBd4AaABAg","sebenernya kurang di eksplor aja ceritanya tpi ya mau gimana awi + lele laila selalu gini naskahnya","47"
"@zeterXD","https://www.youtube.com/@zeterXD","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=Ugyy-_z7HXiP4GoCH9F4AaABAg","absolute cinema","32"
"@arifnugraha86","https://www.youtube.com/@arifnugraha86","4 bulan yang lalu (diedit)","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=Ugx4EdvJiUEDO6SJi-J4AaABAg","Sdh kuduga, filmnya Pabrik Gula hambar. Harusnya kapan2 ada yg bikin film betapa berbahayanya buzzer di dunia nyata. Lebih urgensi dan meracuni penilaian jujur","272"
"@itz_ssr17","https://www.youtube.com/@itz_ssr17","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgxDutjHF9C4aGafWTx4AaABAg&pp=0gcJCSMANpG00pGi","bang jangan lupa review film jumbo 2025","2"
"@fami417","https://www.youtube.com/@fami417","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgxgzaWbbAfZncCrzQd4AaABAg","Nex Qodrat 2 bang","28"
"@satriadwi2616","https://www.youtube.com/@satriadwi2616","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=Ugy6FPZsTF5Rv1aBwM14AaABAg","menurut gw film pabrik gula ini dengan sengaja memilih plot yang mirip dan ga ada pendalaman karakter yang terlalud detail, pembuat film di indonesia ini lebih mentingin views daripada kualitas. namanya juga bisnis","234"
"@hilmiomegaosatsu2923","https://www.youtube.com/@hilmiomegaosatsu2923","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgwWsZQxMiNGXJdz3pV4AaABAg","Wkwk sumpah ini konten lucu banget setiap anda bahas selalu ada marahnya","12"
"@ahmad_kasimmm","https://www.youtube.com/@ahmad_kasimmm","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgzVqv-5xfasYRe_PRl4AaABAg","pas intro judul lagunya apa bang",""
"@NanaJejeDNa","https://www.youtube.com/@NanaJejeDNa","4 bulan yang lalu","https://www.youtube.com/watch?v=8bRMzypCXS0&lc=UgyDnI7lCrAni4pZ41J4AaABAg","Dah kuduga pasti sarkas","400"
