"Link Channel","ID Channel","Link video","Komentar","Like"
"https://www.youtube.com/@Empat.","@Empat.","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=Ugywm7tfCIJfxZK5XD14AaABAg","bisa aja wancoy","81"
"https://www.youtube.com/@klomangrawr","@klomangrawr","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgxzDgz9SzFvKML2HXp4AaABAg","Meta Horror = Jawa + Demit","18"
"https://www.youtube.com/@ezioauditore-ji6dn","@ezioauditore-ji6dn","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgxslfQmA2ZbCItcDgV4AaABAg","Aldo no kacamata = mode roasting","7"
"https://www.youtube.com/@thezendya","@thezendya","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgwqeyPoJBpx0ebl8jZ4AaABAg","ini masuknya konten Aldo marah marah","4"
"https://www.youtube.com/@chessecakepanda5122","@chessecakepanda5122","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgzU67AK6ofnbICMIrl4AaABAg&pp=0gcJCSMANpG00pGi","chanel ini adalah obat saat TLM  belum ngeluarin konten marah marah...","2"
"https://www.youtube.com/@aplus1244","@aplus1244","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgzbJE6VT5gM7X1ekeR4AaABAg","Scene skidipapap nya cuma gitu doang","2"
"https://www.youtube.com/@archivewonder","@archivewonder","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgxauMHNK4kHwm4xWIx4AaABAg","Tolong Aldo review ""Norma"", saya mau hitung bpm ketawa",""
"https://www.youtube.com/@Secret-ni1zv","@Secret-ni1zv","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgwQxTSc_bjkzlcuH6l4AaABAg","Mooview M nya marah - marah","2"
"https://www.youtube.com/@raafiarkan891","@raafiarkan891","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgzAWz44WzdeN_HmbeJ4AaABAg","sumpah gua seneng banget kalo liat reviewer film begini, karena bener bener satu visi dalam hal unek unek, kenapa banyak penulia film lupa banget sama aspek 5w1h, si tiba tiba ada itu aneh banget wkwkwkwk","8"
"https://www.youtube.com/@Aurorablizz6","@Aurorablizz6","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgzVn_nex10LwHd0M3N4AaABAg","Lucu banget reviewnya","3"
"https://www.youtube.com/@B__DandiBudiman","@B__DandiBudiman","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgxIOo61jvW5P5tZY0J4AaABAg","mas aldo disini seperti mengingkatkan beliau ketika mode megamen","1"
"https://www.youtube.com/@chartreux3120","@chartreux3120","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgwkJwHeZ6MrvQvTSSN4AaABAg","Bahaya banget nonton ini sambil minum wkwk",""
"https://www.youtube.com/@mnsalim3419","@mnsalim3419","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=Ugz7AB0dL9C0c4E3WTV4AaABAg&pp=0gcJCSMANpG00pGi","Panen bro.. money money money…","6"
"https://www.youtube.com/@soyawikwok","@soyawikwok","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=Ugz-DqyQMsEelICtpvZ4AaABAg","papi tiri : tidak peduli","9"
"https://www.youtube.com/@jt.doctorsdiary","@jt.doctorsdiary","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgzgTHFW4haBg19jqAx4AaABAg","Papi sangat energetikkk","1"
"https://www.youtube.com/@DodotWisnu","@DodotWisnu","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgwavBHWuxnTw1NIjtJ4AaABAg&pp=0gcJCSMANpG00pGi","qodrat 2, gass",""
"https://www.youtube.com/@louwyay","@louwyay","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgznAnWgRFt0LsEwzrl4AaABAg","ko aldo... bandiingin pabrik gula vs pabrik kaen( kodrat 2) seru dah... ada banteng2nya juga","3"
"https://www.youtube.com/@sun.go14","@sun.go14","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgyEOa3LaZ7jE7KzVoZ4AaABAg","Aldo kocak kalo Mooview...","2"
"https://www.youtube.com/@napriana","@napriana","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=UgzSXpWe3uuAHwR0UVB4AaABAg","Seru banget klo liat review film di mari. Ahahaha, ada aja bahasannya.",""
"https://www.youtube.com/@rizkisp1168","@rizkisp1168","https://www.youtube.com/watch?v=0DbfgpaDKls&lc=Ugy62O2t6n7E3WM-oCN4AaABAg&pp=0gcJCSMANpG00pGi","harusnya tuh pas 2 sesepuh buka gerbang ada sam Smith lagi konser wkwkwk","4"
