"Link Channel","Like","Waktu","Link video","Komentar","Like"
"https://www.youtube.com/@ernestprakasa","@ernestprakasa","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyfexWA_AtOXJOVmVx4AaABAg","Terimakasih. Syukurlah kalo nggak bikin misuh-misuh.","1,4 rb"
"https://www.youtube.com/@addicted2mosh","@addicted2mosh","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwhRD6YtAOoVD5KwNN4AaABAg","film Indonesia yg betul betul memiliki titik tawa yg sangat padat. seisi bioskop bener tidak dikasih jeda karena ketawa terus terusan. AGAK LAEN!!!","175"
"https://www.youtube.com/@gitas5555","@gitas5555","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugy8pNED5U8lMUIwdsR4AaABAg","SEPAKAT  Satu lagi karakter yg oke, Sadana Agung yg jd Obet","122"
"https://www.youtube.com/@ilhamrj2599","@ilhamrj2599","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwrAst6sM1R7mDA9KJ4AaABAg","Tapi emang benar, Oki Rengga mengalahkan ekspektasi kita semua . Dia mengemban porsi dramatisasi terbesar di film ini. Malahan sebenarnya muara dari konflik dan solusi cerita dari film ini justru di subplot nya Oki Rengga.","190"
"https://www.youtube.com/@sulthon2410","@sulthon2410","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwK1S2ec2XlRDWT4v94AaABAg","Ratingnya lumayan tinggi bgtt yak buat ukuran review Cine Crib keren Abis Agak Laen wkwk Imajinari selalu mind blowing.. 10/10","56"
"https://www.youtube.com/@talking2themoon","@talking2themoon","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugy-v7vjJSUFuBSocCF4AaABAg","Seneng abang berdua ini ketawa sesuai genre filmnya yaitu film komedi, bukan ngetawain film horor","362"
"https://www.youtube.com/@artidrist86","@artidrist86","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgybQrtmQgRw2kkLjvh4AaABAg","Ngga berlebihan klo ini dianggap The Best...

Padet banget ceritanya, komedi, drama, percintaan, keluarga dll.
Keren...","35"
"https://www.youtube.com/@yogiproductions4241","@yogiproductions4241","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzT3Xt7jRwEKE3xEuh4AaABAg&pp=0gcJCSMANpG00pGi","Bang Acho emang salah satu komika yang materinya rapi, keren emang dia.","18"
"https://www.youtube.com/@OmArya2531","@OmArya2531","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzgYBHsnIyCpiFAAYx4AaABAg","Intinya, nih film berasa seperti franchise Goosebumps versi lokal. Karena ngga cuma isinya horor doang melainkan ada pesan dan hikmah yang bisa diambil dalam film ini termasuk tentang keluarga macam film Ngeri-ngeri Sedap tapi ada elemen horornya gitu. 

Dengan rating 8/10, Acho telah berhasil merilis film genre horor kedua dengan cukup signifikan sekaligus obat kekecewaan lah setelah Ghost Writer 2 yang formulanya terbilang B aja","107"
"https://www.youtube.com/@SultoArwano","@SultoArwano","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwaforNaKbwL_FaYTl4AaABAg","Oki gak nyangka sih, mantep bgt disini..","34"
