Link Channel,ID Channel,Waktu,Link video,Komentar,Like,dot 2
https://www.youtube.com/@lebahdanputritidur,@lebahdanputritidur,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgwixJxREWByWnI-70N4AaABAg,¾ film yang punya senter cuman satpam hahahah,68.0,
https://www.youtube.com/@ekosans8361,@ekosans8361,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugy3G8OTVii-_2TJckx4AaABAg,"Lg makan, opening lg bahas cebok... 
Nimmat bettt",3.0,
https://www.youtube.com/@DedeArip-ur1fg,@DedeArip-ur1fg,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxLcKo80LbaWlITBqh4AaABAg,"Kalau ada pabrik yang sering terjadi kecelakaan kerja , itu bukan ada yang minta tumbal tapi emang standard keselamatan kerjanya yang buruk.",791.0,
https://www.youtube.com/@han_1to3,@han_1to3,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgwUFqtZGqRhyugCUSt4AaABAg&pp=0gcJCSMANpG00pGi,Kak Anthy kiyowo sekali pakai poni,12.0,
https://www.youtube.com/@dccc9133,@dccc9133,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxwzhIavW87JClIEDJ4AaABAg,"Setuju banget si sama reviewnya. Tipikal film horor indo yg klise dateng ke tempat keramat, anehaneh, minta tumbal. Gaada yg baru samsek. Cuma emang franky sama temennya itu kocak banget bjirr sestudio sampe literally ngakak. Sama aku suka bahasa jawanya gak kaku beneran kaya bahasa jawa orang jatim karena aku sendiri orang jatim. Yg agak janggal selain yg disebutin di video menurutku scene kuda lumping si.  Gak kesurupan juga pemain kuda lumping di acara hajatan juga bisabisa aja jalan/makan beling/bara api. Apalagi sengaja di situ kaya dibikin kolam beling sama bara api wqwq kalo misalnya dibikin set nya itu di ladang sisa panen tebu yg emang biasanya dibakar nah itu masi make sense",8.0,
https://www.youtube.com/@ridwanmaulana8701,@ridwanmaulana8701,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzngymdoLpb60oAwXx4AaABAg,"Kalau menurutku ini gabungan kkn desa penari dengan the medium, alur cerita kkn desa penari, adegan adegan dukun nya the medium banget dari mulai belah kelapa busuk, pohon besar , ritual sampai ritual akhir yg gagal itu bener2 mirip , tapi okelah masih bisa dinikmati dari awal sampe akhir untuk versi cut nya",4.0,
https://www.youtube.com/@mpeb1000,@mpeb1000,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgwU_V4nQaJEaDPP9f14AaABAg,Film yg satu lagi wajib mereka ini yg review sih....,3.0,
https://www.youtube.com/@FebbyFebrianto-zx4fk,@FebbyFebrianto-zx4fk,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxtgxagBQFxRrXFM7B4AaABAg,Hayu ke bioskop ramein QODRAT nya JUMBO,2.0,
https://www.youtube.com/@Babamcat,@Babamcat,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugw_W1GKgBjSNPbdZX94AaABAg,"Sama banget.. saya juga penasaran sama aktivitas buruh di pabrik nya. Cuma krna emanng di dialog nya juga udah dijelasin kalo penggilingan belum dimulai, makannya pabrik belum beraktivitas. Baru cuma sampe panen tebu nya aja",4.0,
https://www.youtube.com/@ridayuliani8032,@ridayuliani8032,4 bulan yang lalu (diedit),https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzIIjIxSxu5lgq_tKN4AaABAg,"Mesti review when live give you tangerines sih, best bgt itu drama banyak pelajaran yg bisa diambil mana mengandung bawang",3.0,
https://www.youtube.com/@Maspocongg,@Maspocongg,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugw-2CSXwtBKm6dPGtd4AaABAg,"Suka banget sama couple ini serius, sering-sering dah",,
https://www.youtube.com/@devi7959,@devi7959,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzvsYBZl-qmHLjCkKl4AaABAg,Lagi cari review sebelum nonton qodrat / pabrik gula... Menariknya hanya lokasinya aja sih dipabrik gula,2.0,
https://www.youtube.com/@SinggihbudiyokoYokoyoko,@SinggihbudiyokoYokoyoko,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxmxkdG-hYsVvb87m14AaABAg,Padahal di simple man pabrik gula thread pertama jauh lebih serem,3.0,
https://www.youtube.com/@faiz12345,@faiz12345,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugx7xsSWNJZQjMldQWt4AaABAg,poster filmnya rame bgt buset,1.0,
https://www.youtube.com/@vanarfan93,@vanarfan93,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugwdt8hh82GgSaWYi7d4AaABAg,paling suka Ericarl bner2 pas karakter nya... binal2 gemesin,1.0,
https://www.youtube.com/@yanzdayenz,@yanzdayenz,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugyj9APnHdmLPaugLjJ4AaABAg&pp=0gcJCSMANpG00pGi,"Abis minal aidzin jangan nonton series perselingkuhan lagi, nanti berantem lagi",2.0,
https://www.youtube.com/@erniskurniadi2454,@erniskurniadi2454,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgyadQCxLUNmmLEffiN4AaABAg,KKN di pabrik gula..formula KKN desa penari yang dibawa ke pabrik gula,2.0,
https://www.youtube.com/@JoniZhask,@JoniZhask,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgyJP6JOxcTEA_6v2GB4AaABAg,Wkwkwk ketika horror tapi thumbnail ada tulisan lebih lucu berarti udah ketahuan kemana ini,2.0,
https://www.youtube.com/@BluestoneAlleyy,@BluestoneAlleyy,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgwrTjijIZvAlaTL2BB4AaABAg,Salfok sama rambutnya Kak Anthy. Digerai dan diponi bengini canci sekaliii gemuyyy,1.0,
https://www.youtube.com/@Dawnwesker6896,@Dawnwesker6896,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxySpeZT_JUoxE3mn54AaABAg,klo tiap lebaran ada film simpleman lama2 kayak warkop DKI atau Mr bean,1.0,
https://www.youtube.com/@ryankaneki5984,@ryankaneki5984,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugx873AdRo_3bD20Vkx4AaABAg,Akting dukun yang bagus cuman dukun di keramat 1,2.0,
https://www.youtube.com/@chewyscheesecake4970,@chewyscheesecake4970,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzMMrI5bJPGaA2sm294AaABAg&pp=0gcJCSMANpG00pGi,"setuju sama kak anty, agak bingung juga pas scene itu kok tiba-tiba fadhil ternyata mimpi clue gt, kirain yang rep-repan itu ternyata bukan. sama bingung juga sih kenapa si iblis gede tuh, si dalboh yang katanya bakal ngambil sesajen sapinya cuman nampakin diri ke fadhil doang, sampe dicekek juga gamungkin kalo gaada apa-apa",6.0,
https://www.youtube.com/@Greyhound9999,@Greyhound9999,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzO03Junk5fit3dyIR4AaABAg,karakter film simpleman yg gak pernah gagal jadi favorit aku itu kuatnya unsur2 Indonesian folklore-nya sih. Di sini mereka nampilin reog yang parah maksimal eksekusinya. Dulu yang cuma bisa ngebayangin di kepala klo dideskripsiin ortu (krn selalu dilarang nonton perform aslinya demi menghindari hal2 yg kurang baik) dikasih kesempatan buat nyaksiin lewat film ini. Super dope pabrik gula!!,1.0,
https://www.youtube.com/@diyan55aja,@diyan55aja,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgwJdhilCJkOlsfXZp14AaABAg,"Ih kak Anthy rambutnya bagus, fresh",2.0,
https://www.youtube.com/@LuxLy_FLY,@LuxLy_FLY,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzLQVmNCgJHbhp-_T14AaABAg,Udah paling bener md bikin lanjutan foxtrot six,2.0,
https://www.youtube.com/@rafidaaahhh19,@rafidaaahhh19,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugy1cZmfsbQ9cMAnaM54AaABAg,gua suka audio film iniii,1.0,
https://www.youtube.com/@joshuapngg4570,@joshuapngg4570,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgymGkAmuDKMhb24T9d4AaABAg,ritual kuda diiringi rebana wkwkw,1.0,
https://www.youtube.com/@rendypurnama4949,@rendypurnama4949,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxgdV0Q5URiKcnGqCl4AaABAg,Actingnya juara sih,2.0,
