Link Channel,ID Channel,Waktu,Link video,Komentar,Like,Like.1
https://www.youtube.com/@Kytsuuu,@Kytsuuu,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=UgzI2nB8ZpJ96jYBfUl4AaABAg&pp=0gcJCSMANpG00pGi,"gw dibagian oki marah senyum senyum bukan karena gak tau situasi sih, tapi lebih ngebayangin ni orang mengejutkan sekali aktingnya sumpah keren cuy",99.0,
https://www.youtube.com/@KecanduanHotWheels,@KecanduanHotWheels,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=UgxRYeoWXj4ySyGy9WZ4AaABAg,"Bene : kau tau kenapa mamak mu itu sakit?
Itu karena punya anak Kayak kau.

Denger kalimat itu, gue langsung jleb.
Anjir si Bene tega banget.",46.0,
https://www.youtube.com/@Toanyone-s8m,@Toanyone-s8m,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=Ugx4OpryzuRDeuCJm514AaABAg,"Kemarin baru nonton ni film dan emang bagus banget filmnya unik, pokoknya fresh, horornya ada, sedih nya ada, drama nya juga ada, komedi pun juga lengkap sudah",71.0,
https://www.youtube.com/@talking2themoon,@talking2themoon,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=UgxEVoGxhlghq0ig2ZR4AaABAg&pp=0gcJCSMANpG00pGi,"Tapi menurut gua 2 jam di film ini bener bener gak berasa, kaya nonton standup comedy aja gitu. Worth bgt buat di tonton woy. Ayo dong warga Indonesia ada film bagus nih!!!",21.0,
https://www.youtube.com/@nicetomeetyou7132,@nicetomeetyou7132,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=UgzS8hDam2NibJ_ntbN4AaABAg,"Menurut gue justru durasi 2 jam gak berasa, krn sgt menikmati alur ceritanya, dan mgkn ada alasan knp jadi 2 jam krn disini tokoh utamanya ada 4 org dg berbagai konfliknya masing""
But overall, film ini memang baguss bgtt, mgkn bakal jadi film komedi terbaik di 2024!",329.0,
https://www.youtube.com/@azumakun01,@azumakun01,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=UgzZUa-Y3MqmRJ3-J2B4AaABAg,nunggu ripiu dri ngelantur sebelum nonton,18.0,
https://www.youtube.com/@jauzaaathira2142,@jauzaaathira2142,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=UgwujXLTmQhDnmw8UoZ4AaABAg,Budha dibawain juga bg pas dia bilang “yaudah kita panggil aja dukun budha”,13.0,
https://www.youtube.com/@MarioAngelo,@MarioAngelo,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=Ugw602tjJqgEKZC-1GR4AaABAg,"Ni film sangat jenius banget komedinya , gw kasih 8/10 deh",23.0,
https://www.youtube.com/@riskatresiana8620,@riskatresiana8620,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=UgxWtiNw55mxyudLBDh4AaABAg,"Mayoritas penonton adalah pasukan bermarga yg paham inside jokes sama karakter 4 pria agak laen ini jadi jangan heran kalo mereka ketawa di scen e drama, namanya agak laen",136.0,
https://www.youtube.com/@jherypranatas7077,@jherypranatas7077,1 tahun yang lalu,https://www.youtube.com/watch?v=SuHVV0cZbE8&lc=Ugxd2DPSXH03BvFcn_B4AaABAg,sesuai nama chanel ngelantur bgt,,
